Process	CPU	PID	Description	Company Name	Command Line	Start Time
Registry		104				06:47:18 p. m. 29/01/2020
System Idle Process	25.90	0				06:47:20 p. m. 29/01/2020
System	0.74	4				06:47:20 p. m. 29/01/2020
 Interrupts	1.16	n/a	Hardware Interrupts and DPCs			06:47:20 p. m. 29/01/2020
 smss.exe		340				06:47:20 p. m. 29/01/2020
 Memory Compression	< 0.01	2288				06:47:24 p. m. 29/01/2020
csrss.exe	0.03	556				06:47:22 p. m. 29/01/2020
wininit.exe		644				06:47:23 p. m. 29/01/2020
 services.exe		716				06:47:23 p. m. 29/01/2020
  svchost.exe		908	Proceso host para los servicios de Windows	Microsoft Corporation	C:\Windows\system32\svchost.exe -k DcomLaunch -p	06:47:23 p. m. 29/01/2020
  svchost.exe	0.77	932	Proceso host para los servicios de Windows	Microsoft Corporation	C:\Windows\system32\svchost.exe -k DcomLaunch -p	06:47:23 p. m. 29/01/2020
   WmiPrvSE.exe		5824				06:47:26 p. m. 29/01/2020
   WmiPrvSE.exe	< 0.01	3444				06:49:28 p. m. 29/01/2020
   WmiPrvSE.exe		7264				06:49:42 p. m. 29/01/2020
   dllhost.exe		11856	COM Surrogate	Microsoft Corporation	C:\WINDOWS\SYSTEM32\DLLHOST.EXE /PROCESSID:{3EB3C877-1F16-487C-9050-104DBCD66683}	01:08:42 p. m. 30/01/2020
   WmiPrvSE.exe		3152				01:08:45 p. m. 30/01/2020
   ShellExperienceHost.exe	Suspended	11772	Windows Shell Experience Host	Microsoft Corporation	"C:\Windows\SystemApps\ShellExperienceHost_cw5n1h2txyewy\ShellExperienceHost.exe" -ServerName:App.AppXtk181tbxbce2qsex02s8tw7hfxa9xb3t.mca	01:08:46 p. m. 30/01/2020
   dllhost.exe		12596	COM Surrogate	Microsoft Corporation	C:\WINDOWS\SYSTEM32\DLLHOST.EXE /PROCESSID:{AB8902B4-09CA-4BB6-B78D-A8F59079A8D5}	01:08:47 p. m. 30/01/2020
   SearchUI.exe	Suspended	480	Search and Cortana application	Microsoft Corporation	"C:\Windows\SystemApps\Microsoft.Windows.Cortana_cw5n1h2txyewy\SearchUI.exe" -ServerName:CortanaUI.AppXa50dqqa5gqv4a428c9y1jjw7m3btvepj.mca	01:08:47 p. m. 30/01/2020
   RuntimeBroker.exe		2740	Runtime Broker	Microsoft Corporation	C:\Windows\System32\RuntimeBroker.exe -Embedding	01:08:47 p. m. 30/01/2020
   RuntimeBroker.exe		1868	Runtime Broker	Microsoft Corporation	C:\Windows\System32\RuntimeBroker.exe -Embedding	01:08:47 p. m. 30/01/2020
   ApplicationFrameHost.exe		12600	Application Frame Host	Microsoft Corporation	C:\Windows\system32\ApplicationFrameHost.exe -Embedding	01:08:47 p. m. 30/01/2020
   MicrosoftEdge.exe	Suspended	4512	Microsoft Edge	Microsoft Corporation	"C:\Windows\SystemApps\Microsoft.MicrosoftEdge_8wekyb3d8bbwe\MicrosoftEdge.exe" -ServerName:MicrosoftEdge.AppXdnhjhccw3zf0j06tkg3jtqr00qdm0khc.mca	01:08:47 p. m. 30/01/2020
   browser_broker.exe		12944	Browser_Broker	Microsoft Corporation	C:\Windows\system32\browser_broker.exe -Embedding	01:08:48 p. m. 30/01/2020
   RuntimeBroker.exe		4520	Runtime Broker	Microsoft Corporation	C:\Windows\System32\RuntimeBroker.exe -Embedding	01:08:48 p. m. 30/01/2020
    MicrosoftEdgeSH.exe	Suspended	11716	Microsoft Edge Web Platform	Microsoft Corporation	C:\Windows\system32\MicrosoftEdgeSH.exe SCODEF:4512 CREDAT:9730 APH:16000000000005 JITHOST /prefetch:2	01:08:48 p. m. 30/01/2020
   MicrosoftEdgeCP.exe	Suspended	12156	Microsoft Edge Content Process	Microsoft Corporation	"C:\Windows\System32\MicrosoftEdgeCP.exe" -ServerName:Windows.Internal.WebRuntime.ContentProcessServer	01:08:48 p. m. 30/01/2020
   RuntimeBroker.exe		5088	Runtime Broker	Microsoft Corporation	C:\Windows\System32\RuntimeBroker.exe -Embedding	01:08:49 p. m. 30/01/2020
   WinStore.App.exe	Suspended	11156	Store	Microsoft Corporation	"C:\Program Files\WindowsApps\Microsoft.WindowsStore_12001.1001.5.0_x64__8wekyb3d8bbwe\WinStore.App.exe" -ServerName:App.AppXc75wvwned5vhz4xyxxecvgdjhdkgsdza.mca	01:09:02 p. m. 30/01/2020
   RuntimeBroker.exe		12848	Runtime Broker	Microsoft Corporation	C:\Windows\System32\RuntimeBroker.exe -Embedding	01:09:02 p. m. 30/01/2020
   dllhost.exe		9204	COM Surrogate	Microsoft Corporation	C:\WINDOWS\SYSTEM32\DLLHOST.EXE /PROCESSID:{973D20D7-562D-44B9-B70B-5A0F49CCDF3F}	01:10:03 p. m. 30/01/2020
   dllhost.exe		13892				01:10:07 p. m. 30/01/2020
   WmiPrvSE.exe	0.25	4748				01:10:18 p. m. 30/01/2020
   backgroundTaskHost.exe	Suspended	6232	Background Task Host	Microsoft Corporation	"C:\Windows\system32\backgroundTaskHost.exe" -ServerName:Microsoft.MicrosoftOfficeHub.AppX54h2e8jwdm50fj5ha8987vz1etpx7czd.mca	01:17:24 p. m. 30/01/2020
   RuntimeBroker.exe	2.48	10088	Runtime Broker	Microsoft Corporation	C:\Windows\System32\RuntimeBroker.exe -Embedding	01:17:24 p. m. 30/01/2020
    LocalBridge.exe	6.41	4076	LocalBridge		"C:\Program Files\WindowsApps\Microsoft.MicrosoftOfficeHub_18.2001.1241.0_x64__8wekyb3d8bbwe\LocalBridge.exe" /InvokerPRAID: Microsoft.MicrosoftOfficeHub notifications	01:17:24 p. m. 30/01/2020
  svchost.exe	0.38	400	Proceso host para los servicios de Windows	Microsoft Corporation	C:\Windows\system32\svchost.exe -k RPCSS -p	06:47:23 p. m. 29/01/2020
  svchost.exe	0.02	560	Proceso host para los servicios de Windows	Microsoft Corporation	C:\Windows\system32\svchost.exe -k DcomLaunch -p	06:47:24 p. m. 29/01/2020
  svchost.exe		1184	Proceso host para los servicios de Windows	Microsoft Corporation	C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted -p	06:47:24 p. m. 29/01/2020
  svchost.exe		1192	Proceso host para los servicios de Windows	Microsoft Corporation	C:\Windows\system32\svchost.exe -k LocalService	06:47:24 p. m. 29/01/2020
  svchost.exe		1200	Proceso host para los servicios de Windows	Microsoft Corporation	C:\Windows\system32\svchost.exe -k LocalService -p	06:47:24 p. m. 29/01/2020
  svchost.exe		1212	Proceso host para los servicios de Windows	Microsoft Corporation	C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p	06:47:24 p. m. 29/01/2020
  svchost.exe	< 0.01	1220	Proceso host para los servicios de Windows	Microsoft Corporation	C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted -p	06:47:24 p. m. 29/01/2020
  svchost.exe	0.01	1332	Proceso host para los servicios de Windows	Microsoft Corporation	C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted -p	06:47:24 p. m. 29/01/2020
  svchost.exe	0.09	1384	Proceso host para los servicios de Windows	Microsoft Corporation	C:\Windows\system32\svchost.exe -k NetworkService -p	06:47:24 p. m. 29/01/2020
  svchost.exe		1400	Proceso host para los servicios de Windows	Microsoft Corporation	C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p	06:47:24 p. m. 29/01/2020
  svchost.exe		1408	Proceso host para los servicios de Windows	Microsoft Corporation	C:\Windows\system32\svchost.exe -k netsvcs -p	06:47:24 p. m. 29/01/2020
   taskhostw.exe	0.02	9840	Proceso de host para tareas de Windows	Microsoft Corporation	taskhostw.exe {222A245B-E637-4AE9-A93F-A59CA119A75E}	01:08:45 p. m. 30/01/2020
   RAVCpl64.exe		14144	Realtek HD Audio Manager	Realtek Semiconductor	"C:\Program Files\Realtek\Audio\HDA\RAVCpl64.exe" -s	01:09:15 p. m. 30/01/2020
   RAVBg64.exe		6932	HD Audio Background Process	Realtek Semiconductor	"C:\Program Files\Realtek\Audio\HDA\RAVBg64.exe" /LENOVO_MICPKEY	01:09:15 p. m. 30/01/2020
  svchost.exe		1416	Proceso host para los servicios de Windows	Microsoft Corporation	C:\Windows\system32\svchost.exe -k LocalService -p	06:47:24 p. m. 29/01/2020
